Date, Daily Cases,Daily Deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,residential_percent_change_from_baseline 
2020-02-16,0,0,13,8,41,4,-2
2020-02-17,1,0,-12,-15,63,-28,11
2020-02-18,0,0,-1,4,6,-1,1
2020-02-19,0,0,1,1,9,0,0
2020-02-20,0,0,6,4,14,-1,0
2020-02-21,1,0,2,-1,10,-1,1
2020-02-22,0,0,8,5,28,6,-1
2020-02-23,0,0,10,6,36,5,-1
2020-02-24,1,0,3,2,19,-1,0
2020-02-25,1,0,2,5,9,0,0
2020-02-26,0,0,-2,2,1,-2,1
2020-02-27,2,0,-8,-9,-6,-5,4
2020-02-28,1,0,-1,1,-5,1,1
2020-02-29,6,0,7,7,11,6,0
2020-03-01,4,0,10,9,23,6,-1
2020-03-02,3,0,3,3,1,-2,1
2020-03-03,3,0,4,6,8,-2,0
2020-03-04,3,0,5,4,11,0,1
2020-03-05,4,0,7,5,18,-1,1
2020-03-06,12,0,1,-1,6,-3,1
2020-03-07,5,0,6,5,17,3,0
2020-03-08,10,0,9,7,50,3,0
2020-03-09,13,1,4,4,31,-3,1
2020-03-10,2,0,-1,1,-2,-6,1
2020-03-11,29,0,3,7,12,-3,1
2020-03-12,9,0,7,27,11,-6,1
2020-03-13,76,0,-5,35,-16,-17,5
2020-03-14,5,0,-11,19,-8,-19,5
2020-03-15,54,0,-12,11,28,-22,4
2020-03-16,163,3,-12,23,15,-37,10
2020-03-17,63,2,-27,13,7,-45,14
2020-03-18,179,5,-33,7,14,-48,16
2020-03-19,143,0,-36,4,18,-52,17
2020-03-20,143,4,-44,-5,-8,-54,20
2020-03-21,334,4,-49,-12,11,-49,13
2020-03-22,192,3,-51,-21,4,-54,11
2020-03-23,619,7,-45,-13,-27,-63,20
2020-03-24,702,4,-49,-15,-10,-64,22
2020-03-25,461,9,-53,-21,1,-65,23
2020-03-26,791,15,-54,-21,-18,-68,25
2020-03-27,640,9,-55,-21,-10,-66,26
2020-03-28,894,16,-59,-27,-30,-64,17
2020-03-29,704,14,-59,-35,-16,-66,14
2020-03-30,1118,29,-54,-27,-32,-70,23
2020-03-31,1129,27,-51,-19,-13,-68,23
2020-04-01,1033,23,-52,-21,-10,-68,24
2020-04-02,1724,49,-53,-23,-16,-70,25
2020-04-03,1153,53,-55,-23,-33,-69,27
2020-04-04,541,83,-57,-25,-17,-63,17
2020-04-05,2778,75,-63,-45,-13,-67,14
2020-04-06,807,85,-51,-21,2,-68,23
2020-04-07,1309,61,-52,-18,-1,-68,24
2020-04-08,1269,67,-51,-17,-3,-67,24
2020-04-09,1513,123,-44,-3,-15,-68,24
2020-04-10,1405,96,-70,-43,-24,-77,33
2020-04-11,1257,119,-54,-15,-22,-63,17
2020-04-12,983,109,-74,-62,-4,-67,14
2020-04-13,1381,130,-55,-29,-25,-74,26
2020-04-14,1355,136,-50,-16,-11,-68,24
2020-04-15,1174,154,-50,-19,-14,-68,24
2020-04-16,2600,203,-49,-18,-6,-68,25
2020-04-17,2005,126,-53,-22,-22,-67,27
2020-04-18,1542,143,-54,-24,-3,-57,16
2020-04-19,1277,158,-60,-43,-13,-64,14
2020-04-20,2025,146,-46,-19,15,-65,22
2020-04-21,1744,193,-50,-22,-17,-68,23
2020-04-22,2261,195,-50,-22,-22,-67,24
2020-04-23,1636,171,-49,-19,-1,-66,24
2020-04-24,1620,180,-52,-22,-3,-65,25
2020-04-25,1452,187,-51,-21,16,-54,14
2020-04-26,1662,157,-57,-39,-6,-62,13
2020-04-27,1583,185,-45,-17,14,-64,21
2020-04-28,1534,197,-46,-16,14,-64,16
2020-04-29,1715,244,-46,-17,6,-64,22
2020-04-30,1592,179,-47,-17,-4,-65,23
2020-05-01,1886,202,-47,-16,10,-61,23
2020-05-02,1583,148,-49,-18,15,-52,14
2020-05-03,2578,140,-51,-32,47,-54,11
2020-05-04,1453,242,-42,-14,5,-64,20
2020-05-05,1258,170,-42,-10,32,-62,20
2020-05-06,1479,159,-41,-11,36,-60,20
2020-05-07,1507,147,-42,-11,32,-62,21
2020-05-08,1473,153,-45,-11,9,-62,22
2020-05-09,1244,164,-44,-6,0,-55,13
2020-05-10,1173,118,-44,-24,20,-55,10
2020-05-11,1173,134,-41,-14,19,-62,19
2020-05-12,1155,151,-41,-11,20,-61,20
2020-05-13,1149,103,-38,-9,46,-58,19
2020-05-14,1213,121,-38,-10,37,-60,20
2020-05-15,1178,121,-41,-10,24,-59,21
2020-05-16,1247,119,-40,-9,62,-47,10
2020-05-17,1126,90,-41,-23,86,-51,8
2020-05-18,1079,92,-48,-27,94,-69,24
2020-05-19,1082,75,-31,0,57,-57,18
2020-05-20,1082,122,-28,1,70,-54,17
2020-05-21,1167,96,-30,-2,73,-55,18
2020-05-22,1205,98,-34,-5,63,-54,18
2020-05-23,1204,94,-33,-4,85,-42,9
2020-05-24,955,88,-32,-14,115,-43,6
2020-05-25,1013,94,-26,-4,64,-55,16
2020-05-26,971,92,-28,-3,80,-54,16
2020-05-27,899,94,-26,0,82,-52,16
2020-05-28,987,111,-28,-3,64,-54,17
2020-05-29,933,80,-32,-5,51,-53,18
2020-05-30,772,60,-32,-5,58,-41,9
2020-05-31,798,49,-30,-12,69,-43,7
2020-06-01,809,46,-23,-2,81,-51,14
2020-06-02,672,56,-27,-3,64,-53,16
2020-06-03,681,54,-27,-3,68,-52,16
2020-06-04,628,64,-25,0,108,-50,15
2020-06-05,678,40,-29,-3,101,-50,15
2020-06-06,528,62,-29,-5,88,-40,8
2020-06-07,703,41,-26,-9,130,-39,5
2020-06-08,601,44,-21,-2,100,-51,14
2020-06-09,462,34,-24,-2,90,-52,14
2020-06-10,479,35,-22,-1,78,-51,15
2020-06-11,439,31,-21,0,100,-50,15
2020-06-12,436,29,-25,-2,89,-49,14
2020-06-13,448,28,-25,-3,111,-36,6
2020-06-14,361,19,-22,-7,142,-37,4
2020-06-15,359,8,-18,0,104,-49,13
2020-06-16,324,24,-18,3,136,-47,13
2020-06-17,404,21,-19,2,123,-47,13
2020-06-18,386,13,-17,5,139,-47,13
2020-06-19,437,25,-21,4,128,-45,11
2020-06-20,448,29,-22,3,135,-34,4
2020-06-21,316,17,-17,-2,149,-35,1
2020-06-22,340,20,-16,0,119,-47,12
2020-06-23,349,24,-17,6,95,-48,12
2020-06-24,320,30,-23,-8,122,-49,15
2020-06-25,376,23,-13,7,142,-44,12
2020-06-26,166,7,-20,1,129,-42,11
2020-06-27,249,9,-21,-1,117,-31,5
2020-06-28,315,10,-17,-5,153,-32,2
2020-06-29,637,19,-9,5,137,-46,11
2020-06-30,267,12,-2,21,133,-44,10
2020-07-01,191,10,-34,-16,234,-55,16
2020-07-02,355,16,-9,11,134,-46,11
2020-07-03,319,7,-15,6,151,-45,12
2020-07-04,223,8,-19,-1,183,-31,3
2020-07-05,209,2,-13,-3,190,-30,0
2020-07-06,421,13,-9,5,156,-45,10
2020-07-07,208,7,-12,6,136,-46,11
2020-07-08,311,12,-12,5,116,-46,12
2020-07-09,322,10,-11,6,136,-45,11
2020-07-10,328,14,-18,1,136,-44,11
2020-07-11,166,3,-20,-2,97,-37,5
2020-07-12,198,5,-12,-2,169,-31,1
2020-07-13,636,8,-10,3,150,-46,10
2020-07-14,366,5,-11,5,165,-46,11
2020-07-15,343,14,-10,5,159,-45,10
2020-07-16,451,12,-11,5,114,-47,11
2020-07-17,415,10,-15,4,141,-44,10
2020-07-18,316,3,-18,1,193,-29,2
2020-07-19,293,4,-15,-4,154,-34,1
2020-07-20,770,4,-7,7,183,-45,10
2020-07-21,535,7,-10,7,189,-46,10
2020-07-22,317,4,-12,4,134,-47,11
2020-07-23,608,8,-10,6,157,-46,11
2020-07-24,717,4,-17,2,162,-44,10
2020-07-25,355,4,-18,-1,201,-29,2
2020-07-26,319,4,-12,-3,191,-31,0
2020-07-27,682,13,-10,4,145,-47,11
2020-07-28,400,10,-10,7,182,-47,10
2020-07-29,486,5,-9,7,157,-45,11
2020-07-30,320,13,-7,9,171,-45,10
2020-07-31,604,6,-13,7,174,-41,9
2020-08-01,242,4,-17,0,211,-28,1
2020-08-02,245,3,-13,-4,151,-36,1
2020-08-03,205,3,-17,-8,209,-54,14
2020-08-04,686,8,-12,5,107,-48,11
2020-08-05,374,6,-7,8,164,-43,10
2020-08-06,354,6,-8,6,176,-44,10
2020-08-07,516,5,-16,0,155,-43,9
2020-08-08,245,4,-16,-2,197,-29,1
2020-08-09,219,3,-11,-4,187,-30,0
2020-08-10,686,7,-8,2,169,-46,9
2020-08-11,336,6,-11,3,147,-47,10
2020-08-12,314,5,-9,4,170,-44,9
2020-08-13,477,6,-8,4,178,-44,9
2020-08-14,425,4,-14,1,164,-42,9
2020-08-15,220,6,-15,-1,202,-28,1
2020-08-16,179,5,-10,-3,188,-30,-1
2020-08-17,214,2,-10,1,139,-47,9
2020-08-18,866,10,-10,3,153,-46,10
2020-08-19,324,6,-10,2,155,-44,9
2020-08-20,217,3,-7,4,143,-44,9
2020-08-21,694,14,-15,0,125,-43,9
2020-08-22,241,1,-15,-2,184,-28,1
2020-08-23,257,4,-10,-3,169,-30,0
2020-08-24,777,8,-9,0,134,-46,9
2020-08-25,309,5,-10,4,145,-45,9
2020-08-26,477,5,-9,2,126,-44,9
2020-08-27,456,4,-7,4,134,-43,9
2020-08-28,506,13,-14,0,134,-41,8
2020-08-29,297,3,-16,-2,97,-33,3
2020-08-30,249,1,-7,0,152,-28,0
2020-08-31,1030,8,-7,3,131,-42,8
2020-09-01,504,4,-8,5,122,-42,9
2020-09-02,519,2,-10,1,88,-44,10
2020-09-03,586,6,-8,3,138,-41,8
2020-09-04,614,1,-11,4,134,-39,7
2020-09-05,370,1,-13,1,163,-28,1
2020-09-06,379,2,-2,2,212,-28,-1
2020-09-07,405,3,-33,-29,146,-60,17
2020-09-08,1462,7,-9,11,81,-44,9
2020-09-09,378,4,-12,2,84,-44,9
2020-09-10,821,8,-10,2,96,-43,9
2020-09-11,720,0,-14,-1,107,-41,8
2020-09-12,488,2,-12,0,133,-29,2
2020-09-13,476,3,-12,-3,77,-36,2
2020-09-14,1458,13,-11,-2,78,-45,9
2020-09-15,802,8,-11,1,80,-45,9
2020-09-16,952,5,-13,-3,90,-43,9
2020-09-17,1027,5,-12,-2,89,-44,9
2020-09-18,1174,12,-14,-3,74,-43,9
2020-09-19,554,7,-13,-1,102,-33,3
2020-09-20,1143,2,-8,-1,133,-33,1
2020-09-21,1833,12,-13,-2,85,-46,9
2020-09-22,1272,9,-15,-1,83,-46,9
2020-09-23,1084,8,-17,-3,65,-47,10
2020-09-24,1148,8,-15,-1,65,-46,10
2020-09-25,1630,7,-17,-3,73,-45,9
2020-09-26,1053,6,-14,0,113,-35,3
