spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t
1,2020-02-16,33.2,33.2,15,10.8,49
1,2020-02-17,134.99999999999997,134.99999999999997,57,92.7,14
1,2020-02-18,92.8,92.8,84,117.59999999999998,84
1,2020-02-19,107.8,107.8,63,88.8,61
1,2020-02-20,132.7,132.7,28,45.8,6
1,2020-02-21,-24.4,-24.4,50,72.4,42
1,2020-02-22,-13.3,-13.3,10,4.1,43
1,2020-02-23,94.0,94.0,22,33.5,13
1,2020-02-24,43.2,43.2,70,101.3,59
1,2020-02-25,20.4,20.4,80,112.6,78
1,2020-02-26,31.2,31.2,4,-21.4,94
1,2020-02-27,88.6,88.6,48,58.5,77
1,2020-02-28,117.7,117.7,54,80.1,39
1,2020-02-29,-14.3,-14.3,82,123.8,52
1,2020-03-01,13.8,13.8,31,33.2,65
1,2020-03-02,137.9,137.9,84,134.99999999999997,26
1,2020-03-03,95.6,95.6,62,92.8,42
1,2020-03-04,96.3,96.3,68,107.8,26
1,2020-03-05,-14.8,-14.8,95,132.7,96
1,2020-03-06,61.7,61.7,1,-24.4,87
1,2020-03-07,79.3,79.3,7,-13.3,84
1,2020-03-08,21.6,21.6,62,94.0,38
1,2020-03-09,131.6,131.6,39,43.2,77
1,2020-03-10,125.3,125.3,18,20.4,34
1,2020-03-11,98.5,98.5,21,31.2,15
1,2020-03-12,126.9,126.9,62,88.6,56
1,2020-03-13,110.4,110.4,74,117.7,27
1,2020-03-14,139.2,139.2,8,-14.3,93
1,2020-03-15,147.9,147.9,9,13.8,5
1,2020-03-16,47.2,47.2,85,137.9,22
1,2020-03-17,44.5,44.5,58,95.6,10
1,2020-03-18,53.0,53.0,72,96.3,87
1,2020-03-19,46.89999999999999,46.89999999999999,1,-14.8,55
1,2020-03-20,100.8,100.8,43,61.7,38
1,2020-03-21,63.2,63.2,59,79.3,70
1,2020-03-22,131.7,131.7,27,21.6,81
1,2020-03-23,-18.1,-18.1,94,131.6,94
1,2020-03-24,80.39999999999999,80.39999999999999,82,125.3,47
1,2020-03-25,58.89999999999999,58.89999999999999,59,98.5,6
1,2020-03-26,100.2,100.2,78,126.9,19
1,2020-03-27,156.79999999999998,156.79999999999998,72,110.4,40
1,2020-03-28,31.0,31.0,93,139.2,63
1,2020-03-29,23.3,23.3,90,147.9,17
1,2020-03-30,48.4,48.4,29,47.2,7
1,2020-03-31,120.89999999999998,120.89999999999998,41,44.5,84
1,2020-04-01,12.7,12.7,34,53.0,16
1,2020-04-02,97.2,97.2,38,46.89999999999999,59
1,2020-04-03,65.7,65.7,66,100.8,38
1,2020-04-04,2.3,2.3,46,63.2,50
1,2020-04-05,96.1,96.1,78,131.7,3
1,2020-04-06,100.2,100.2,1,-18.1,66
1,2020-04-07,89.6,89.6,57,80.39999999999999,55
1,2020-04-08,64.89999999999999,64.89999999999999,38,58.89999999999999,19
1,2020-04-09,91.2,91.2,72,100.2,74
1,2020-04-10,90.5,90.5,94,156.79999999999998,10
1,2020-04-11,131.89999999999998,131.89999999999998,20,31.0,10
1,2020-04-12,12.0,12.0,22,23.3,47
1,2020-04-13,126.79999999999998,126.79999999999998,29,48.4,3
1,2020-04-14,32.5,32.5,84,120.89999999999998,73
1,2020-04-15,-6.100000000000001,-6.100000000000001,20,12.7,71
1,2020-04-16,142.70000000000002,142.70000000000002,66,97.2,50
1,2020-04-17,59.0,59.0,39,65.7,2
1,2020-04-18,136.20000000000002,136.20000000000002,4,2.3,15
1,2020-04-19,111.0,111.0,71,96.1,82
1,2020-04-20,102.4,102.4,69,100.2,57
1,2020-04-21,6.6,6.6,58,89.6,30
1,2020-04-22,-10.3,-10.3,44,64.89999999999999,33
1,2020-04-23,16.799999999999997,16.799999999999997,69,91.2,87
1,2020-04-24,49.49999999999999,49.49999999999999,70,90.5,95
1,2020-04-25,137.99999999999997,137.99999999999997,79,131.89999999999998,8
1,2020-04-26,-14.9,-14.9,9,12.0,11
1,2020-04-27,91.4,91.4,76,126.79999999999998,8
1,2020-04-28,95.5,95.5,26,32.5,39
1,2020-04-29,141.7,141.7,13,-6.100000000000001,94
1,2020-04-30,127.5,127.5,97,142.70000000000002,74
1,2020-05-01,96.4,96.4,40,59.0,30
1,2020-05-02,5.199999999999999,5.199999999999999,87,136.20000000000002,39
1,2020-05-03,19.3,19.3,66,111.0,4
1,2020-05-04,35.8,35.8,77,102.4,95
1,2020-05-05,48.9,48.9,12,6.6,46
1,2020-05-06,108.9,108.9,1,-10.3,40
1,2020-05-07,103.2,103.2,21,16.799999999999997,63
1,2020-05-08,-21.6,-21.6,42,49.49999999999999,73
1,2020-05-09,100.8,100.8,84,137.99999999999997,16
1,2020-05-10,49.2,49.2,5,-14.9,78
1,2020-05-11,-13.4,-13.4,55,91.4,7
1,2020-05-12,21.6,21.6,65,95.5,50
1,2020-05-13,130.29999999999998,130.29999999999998,95,141.7,66
1,2020-05-14,-6.0,-6.0,81,127.5,34
1,2020-05-15,74.3,74.3,62,96.4,30
1,2020-05-16,79.0,79.0,11,5.199999999999999,45
1,2020-05-17,77.39999999999999,77.39999999999999,14,19.3,15
1,2020-05-18,12.299999999999995,12.299999999999995,26,35.8,28
1,2020-05-19,4.699999999999999,4.699999999999999,30,48.9,7
1,2020-05-20,159.5,159.5,69,108.9,28
1,2020-05-21,86.3,86.3,69,103.2,47
1,2020-05-22,50.69999999999999,50.69999999999999,3,-21.6,89
1,2020-05-23,47.8,47.8,75,100.8,89
1,2020-05-24,90.3,90.3,30,49.2,6
1,2020-05-25,51.3,51.3,8,-13.4,90
1,2020-05-26,-24.6,-24.6,18,21.6,30
1,2020-05-27,-3.9,-3.9,89,130.29999999999998,70
1,2020-05-28,141.20000000000002,141.20000000000002,6,-6.0,54
1,2020-05-29,-21.1,-21.1,58,74.3,81
1,2020-05-30,47.5,47.5,53,79.0,37
1,2020-05-31,154.29999999999998,154.29999999999998,57,77.39999999999999,65
1,2020-06-01,91.0,91.0,21,12.299999999999995,78
1,2020-06-02,0.5999999999999996,0.5999999999999996,16,4.699999999999999,75
1,2020-06-03,51.9,51.9,97,159.5,18
1,2020-06-04,113.7,113.7,55,86.3,24
1,2020-06-05,62.39999999999999,62.39999999999999,42,50.69999999999999,69
1,2020-06-06,127.7,127.7,29,47.8,5
1,2020-06-07,12.0,12.0,69,90.3,90
1,2020-06-08,2.8,2.8,33,51.3,16
1,2020-06-09,37.9,37.9,3,-24.6,99
1,2020-06-10,4.4,4.4,3,-3.9,30
1,2020-06-11,60.99999999999999,60.99999999999999,97,141.20000000000002,79
1,2020-06-12,151.3,151.3,4,-21.1,93
1,2020-06-13,126.6,126.6,38,47.5,57
1,2020-06-14,143.1,143.1,98,154.29999999999998,41
1,2020-06-15,13.1,13.1,71,91.0,99
1,2020-06-16,-6.600000000000001,-6.600000000000001,9,0.5999999999999996,49
1,2020-06-17,-26.2,-26.2,36,51.9,31
