spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t
1,2020-02-17,134.99999999999997,134.99999999999997,15,57,10.8,92.7,49,14
1,2020-02-18,92.8,92.8,57,84,92.7,117.59999999999998,14,84
1,2020-02-19,107.8,107.8,84,63,117.59999999999998,88.8,84,61
1,2020-02-20,132.7,132.7,63,28,88.8,45.8,61,6
1,2020-02-21,-24.4,-24.4,28,50,45.8,72.4,6,42
1,2020-02-22,-13.3,-13.3,50,10,72.4,4.1,42,43
1,2020-02-23,94.0,94.0,10,22,4.1,33.5,43,13
1,2020-02-24,43.2,43.2,22,70,33.5,101.3,13,59
1,2020-02-25,20.4,20.4,70,80,101.3,112.6,59,78
1,2020-02-26,31.2,31.2,80,4,112.6,-21.4,78,94
1,2020-02-27,88.6,88.6,4,48,-21.4,58.5,94,77
1,2020-02-28,117.7,117.7,48,54,58.5,80.1,77,39
1,2020-02-29,-14.3,-14.3,54,82,80.1,123.8,39,52
1,2020-03-01,13.8,13.8,82,31,123.8,33.2,52,65
1,2020-03-02,137.9,137.9,31,84,33.2,134.99999999999997,65,26
1,2020-03-03,95.6,95.6,84,62,134.99999999999997,92.8,26,42
1,2020-03-04,96.3,96.3,62,68,92.8,107.8,42,26
1,2020-03-05,-14.8,-14.8,68,95,107.8,132.7,26,96
1,2020-03-06,61.7,61.7,95,1,132.7,-24.4,96,87
1,2020-03-07,79.3,79.3,1,7,-24.4,-13.3,87,84
1,2020-03-08,21.6,21.6,7,62,-13.3,94.0,84,38
1,2020-03-09,131.6,131.6,62,39,94.0,43.2,38,77
1,2020-03-10,125.3,125.3,39,18,43.2,20.4,77,34
1,2020-03-11,98.5,98.5,18,21,20.4,31.2,34,15
1,2020-03-12,126.9,126.9,21,62,31.2,88.6,15,56
1,2020-03-13,110.4,110.4,62,74,88.6,117.7,56,27
1,2020-03-14,139.2,139.2,74,8,117.7,-14.3,27,93
1,2020-03-15,147.9,147.9,8,9,-14.3,13.8,93,5
1,2020-03-16,47.2,47.2,9,85,13.8,137.9,5,22
1,2020-03-17,44.5,44.5,85,58,137.9,95.6,22,10
1,2020-03-18,53.0,53.0,58,72,95.6,96.3,10,87
1,2020-03-19,46.89999999999999,46.89999999999999,72,1,96.3,-14.8,87,55
1,2020-03-20,100.8,100.8,1,43,-14.8,61.7,55,38
1,2020-03-21,63.2,63.2,43,59,61.7,79.3,38,70
1,2020-03-22,131.7,131.7,59,27,79.3,21.6,70,81
1,2020-03-23,-18.1,-18.1,27,94,21.6,131.6,81,94
1,2020-03-24,80.39999999999999,80.39999999999999,94,82,131.6,125.3,94,47
1,2020-03-25,58.89999999999999,58.89999999999999,82,59,125.3,98.5,47,6
1,2020-03-26,100.2,100.2,59,78,98.5,126.9,6,19
1,2020-03-27,156.79999999999998,156.79999999999998,78,72,126.9,110.4,19,40
1,2020-03-28,31.0,31.0,72,93,110.4,139.2,40,63
1,2020-03-29,23.3,23.3,93,90,139.2,147.9,63,17
1,2020-03-30,48.4,48.4,90,29,147.9,47.2,17,7
1,2020-03-31,120.89999999999998,120.89999999999998,29,41,47.2,44.5,7,84
1,2020-04-01,12.7,12.7,41,34,44.5,53.0,84,16
1,2020-04-02,97.2,97.2,34,38,53.0,46.89999999999999,16,59
1,2020-04-03,65.7,65.7,38,66,46.89999999999999,100.8,59,38
1,2020-04-04,2.3,2.3,66,46,100.8,63.2,38,50
1,2020-04-05,96.1,96.1,46,78,63.2,131.7,50,3
1,2020-04-06,100.2,100.2,78,1,131.7,-18.1,3,66
1,2020-04-07,89.6,89.6,1,57,-18.1,80.39999999999999,66,55
1,2020-04-08,64.89999999999999,64.89999999999999,57,38,80.39999999999999,58.89999999999999,55,19
1,2020-04-09,91.2,91.2,38,72,58.89999999999999,100.2,19,74
1,2020-04-10,90.5,90.5,72,94,100.2,156.79999999999998,74,10
